date,code,close,volumn,return,change,marketcap
2022-08-29,601857,5.48,1360982,0.74,0.04,9352.37
2022-08-30,601857,5.47,1140079,-0.18,-0.01,9352.37
2022-08-31,601857,5.34,1353303,-2.38,-0.13,9352.37
2022-09-01,601857,5.36,1203356,0.37,0.02,9352.37
2022-09-02,601857,5.42,1016597,1.12,0.06,9352.37
2022-09-05,601857,5.56,1820157,2.58,0.14,9352.37
2022-09-06,601857,5.61,1439710,0.9,0.05,9352.37
2022-09-07,601857,5.58,1063078,-0.53,-0.03,10212.57
2022-09-08,601857,5.53,1320468,-0.9,-0.05,10212.57
2022-09-09,601857,5.59,1229276,1.08,0.06,10212.57
2022-09-13,601857,5.55,1049312,-0.72,-0.04,10212.57
2022-09-14,601857,5.52,976924,-0.54,-0.03,10212.57
2022-09-15,601857,5.54,1040331,0.36,0.02,10212.57
2022-09-16,601857,5.37,2677403,-3.07,-0.17,10212.57
2022-09-19,601857,5.35,1322586,-0.37,-0.02,10212.57
2022-09-20,601857,5.16,1020964,-3.55,-0.19,10212.57
2022-09-21,601857,5.23,1002924,1.36,0.07,10212.57
2022-09-22,601857,5.34,1331561,2.1,0.11,10212.57
2022-09-23,601857,5.44,1984612,1.87,0.1,10212.57
2022-09-26,601857,5.11,1990242,-6.07,-0.33,10212.57
2022-09-27,601857,5.1,1606135,-0.2,-0.01,9334.07
2022-09-28,601857,5.07,966269,-0.59,-0.03,9334.07
2022-09-29,601857,5.11,948557,0.79,0.04,9334.07
2022-09-30,601857,5.13,819572,0.39,0.02,9334.07
2022-10-10,601857,5.27,1891524,2.73,0.14,9334.07
2022-10-11,601857,5.21,1121147,-1.14,-0.06,9334.07
2022-10-12,601857,5.2,1092707,-0.19,-0.01,9334.07
2022-10-13,601857,5.13,1451128,-1.35,-0.07,9334.07
2022-10-14,601857,5.17,1104542,0.78,0.04,9334.07
2022-10-17,601857,5.18,999636,0.19,0.01,9480.49
2022-10-18,601857,5.16,711519,-0.39,-0.02,9480.49
2022-10-19,601857,5.11,726317,-0.97,-0.05,9480.49
2022-10-20,601857,5.16,934019,0.98,0.05,9480.49
2022-10-21,601857,5.19,906783,0.58,0.03,9480.49
2022-10-24,601857,5.17,1104972,-0.39,-0.02,9480.49
2022-10-25,601857,5.12,865144,-0.97,-0.05,9480.49
2022-10-26,601857,5.08,1161040,-0.78,-0.04,9480.49
2022-10-27,601857,5.11,863301,0.59,0.03,9352.37
2022-10-28,601857,5.07,1310206,-0.78,-0.04,9352.37
2022-10-31,601857,4.79,3205796,-5.52,-0.28,9352.37
2022-11-01,601857,4.85,1358448,1.25,0.06,9352.37
2022-11-02,601857,4.89,1060959,0.82,0.04,9352.37
2022-11-03,601857,4.89,972995,0,0,9352.37
2022-11-04,601857,4.95,1033841,1.23,0.06,9352.37
2022-11-07,601857,5.05,1188761,2.02,0.1,9352.37
2022-11-08,601857,5.06,691759,0.2,0.01,9352.37
2022-11-09,601857,5.02,600641,-0.79,-0.04,9352.37
2022-11-10,601857,4.95,1095406,-1.39,-0.07,9352.37
2022-11-11,601857,5.05,1144431,2.02,0.1,9352.37
2022-11-14,601857,5.03,1062604,-0.4,-0.02,9352.37
2022-11-15,601857,5.03,785992,0,0,9352.37
2022-11-16,601857,5.06,1005224,0.6,0.03,9260.86
2022-11-17,601857,5.04,785345,-0.4,-0.02,9260.86
2022-11-18,601857,5,804964,-0.79,-0.04,9260.86
2022-11-21,601857,4.97,678549,-0.6,-0.03,9260.86
2022-11-22,601857,5.07,1389390,2.01,0.1,9260.86
2022-11-23,601857,5.14,1532839,1.38,0.07,9260.86
2022-11-24,601857,5.11,811206,-0.58,-0.03,9260.86
2022-11-25,601857,5.18,1114229,1.37,0.07,9260.86
2022-11-28,601857,5.11,1021154,-1.35,-0.07,9260.86
2022-11-29,601857,5.19,1267211,1.57,0.08,9260.86
2022-11-30,601857,5.24,1281766,0.96,0.05,9260.86
2022-12-01,601857,5.19,1044701,-0.95,-0.05,9260.86
2022-12-02,601857,5.2,876848,0.19,0.01,9260.86
2022-12-05,601857,5.32,1719655,2.31,0.12,9260.86
2022-12-06,601857,5.28,1176087,-0.75,-0.04,9663.51
2022-12-07,601857,5.19,1295107,-1.7,-0.09,9663.51
2022-12-08,601857,5.15,1137146,-0.77,-0.04,9663.51
2022-12-09,601857,5.14,954341,-0.19,-0.01,9663.51
2022-12-12,601857,5.09,1175123,-0.97,-0.05,9663.51
2022-12-13,601857,5.1,897679,0.2,0.01,9663.51
2022-12-14,601857,5.14,821935,0.78,0.04,9663.51
2022-12-15,601857,5.09,760146,-0.97,-0.05,9663.51
2022-12-16,601857,5.11,718331,0.39,0.02,9352.37
2022-12-19,601857,5.02,904359,-1.76,-0.09,9352.37
2022-12-20,601857,5,766550,-0.4,-0.02,9352.37
2022-12-21,601857,4.99,501735,-0.2,-0.01,9352.37
2022-12-22,601857,5,596827,0.2,0.01,9352.37
2022-12-23,601857,4.98,594997,-0.4,-0.02,9352.37
2022-12-26,601857,4.98,683454,0,0,9114.44
2022-12-27,601857,5.01,573567,0.6,0.03,9114.44
2022-12-28,601857,5.05,837273,0.8,0.04,9114.44
2022-12-29,601857,4.96,1248619,-1.78,-0.09,9114.44
2022-12-30,601857,4.97,736796,0.2,0.01,9114.44
2023-01-03,601857,5.01,746730,0.8,0.04,9114.44
2023-01-04,601857,4.99,854073,-0.4,-0.02,9114.44
